content,date,journal,summary,title,url
"검찰이 우리들병원의 특혜 대출 관련 의혹을 무혐의 처분한 결정을 지난달 뒤집고 재수사에 나섰다. 경찰은 디스커버리자산운용 장하원 대표에 대해 사기 등 혐의로 6일 구속영장을 신청했다. 문재인 정부 인사들이 연루된 두 사건은 3년 전에 불거졌는데, 검경은 정권교체가 되자 갑자기 수사 속도를 높이고 있다.노무현 전 대통령의 주치의였던 이상호 원장이 운영하는 우리들병원은 2012년과 2017년 대선을 앞두고 거액을 대출 받았다. 이 원장의 동업자는 2019년 기자회견을 열고 특혜 대출에 문재인 정부 청와대 행정관과 여권 실세 등이 관여했다고 주장했다. ‘금감원장 인사 후에 보자’는 관련자 메시지가 공개됐는데, 검찰은 작년 연말엔 무혐의 처분했다.2017년 4월부터 2년 동안 시중은행에서 판매된 디스커버리펀드는 피해 규모만 2562억 원에 이른다. 장 대표의 형인 장하성 주중 한국대사가 60억여 원, 김상조 전 대통령정책실장이 4억여 원을 투자해 펀드 성장 과정에 정권 차원의 비호나 특혜가 있었던 것 아니냐는 의혹이 제기됐다. 올 2월 장 대표를 두 번 조사한 경찰은 대선 다음 날 장 대표를 추가 조사하고도 두 달간 영장 신청을 미뤘다. 고의로 수사를 늦춘 것은 아닌지 의심된다.특혜 대출과 펀드 사기는 금융 분야의 특성상 수사가 제때 이뤄져야 피해 복구가 빨라진다. 그런데도 검경은 정권교체 전후 태도가 돌변했다. 모친의 사문서 위조 공모 의혹으로 고발된 김건희 씨에 대해 경찰은 최근 무혐의 처분했고, 주가 조작 의혹을 수사 중인 검찰은 김 씨를 조사하지 않고 있다. 이래서야 아무리 정치적 중립을 외친다 한들 누가 검경을 믿어주겠는가.",2022-05-11,동아일보,,[사설]정권 바뀌니 ‘우리들병원’ ‘디스커버리’ 의혹 칼 뽑은 검경,https://www.donga.com/news/Opinion/article/all/20220510/113333785/1
"노인회 달려간 李 인천 계양을 국회의원 보궐선거에 출마한 더불어민주당 소속 이재명 전 경기도지사가 9일 대한노인회 계양지회를 찾아 김대기 회장과 악수를 나누고 있다. 이 전 지사는 “제가 지역에 적응할 수 있도록 도와달라”고 말했다. 이 전 지사 측 제공

“안타깝게도 지난 대선은 일꾼보다는 심판자를 선택했다. 이제는 심판은 끝났으니 유능한 일꾼들을 선택해주시길 부탁드린다.”인천 계양을 국회의원 보궐선거에 출마한 이재명 전 경기도지사가 9일 본격적인 선거 활동에 나섰다. 이 전 지사는 이날 첫 일정으로 인천 계양노인복지관을 방문한 뒤 기자들과 만나 당 안팎에서 이어지는 ‘무연고 출마’ 비판과 관련해 거듭 ‘책임’을 강조했다. ‘선당후사’의 원칙에 따라 대선 패배에 대한 책임을 지기 위해 출마했다는 주장이다.그는 “정치인은 국민 앞에 무한 책임이 있기 때문에 당이 필요로 하는 일을 자기 이해관계를 떠나서 감당하는 것이 맞다”고 했다. 전날 지역구로 주소지 이전까지 마무리한 이 전 지사는 “결정 자체를 급박하게 하는 바람에 10일까지 이사를 끝내야 한다”고 답했다. 이 전 지사는 11일 열리는 더불어민주당 선대위 출정식 전까지 인천 계양에서 집중적으로 유세 활동을 이어갈 계획이다.민주당도 ‘수사 방탄용 출마’라는 국민의힘 공세에 맞서 ‘철통 방어’에 나섰다. 박홍근 원내대표는 이날 YTN 라디오에서 “(수사 방탄용이란 지적은) 이 고문의 재등장에 대한 부담을 갖는 국민의힘이 만들어내는 논리”라며 “이미 관련된 수사는 수사대로 다 진행이 되고 있다”고 일축했다. 민주당 김동연 경기도지사 후보도 “어차피 대통령이 새로 취임하게 되면 수사권, 검찰권 모두 다 윤석열 정부의 검찰이고 수사 담당하는 사람들”이라며 “아무리 국회의원이라고 하더라도 (수사에 따라) 명명백백하게 결과가 나올 것”이라고 선을 그었다.이에 맞선 국민의힘의 맹폭도 계속됐다. 권성동 원내대표는 이날 중앙선대위 회의에서 “카드 돌려 막기는 들어봤어도 지역구 돌려 막기는 처음”이라며 “이 전 지사가 무한 책임을 외치지만 무한 배임의 길로 가고 있다”고 비난했다. 6·1지방선거 공동선대위원장을 맡은 김기현 의원은 “실패한 문재인 정권 5년에 대한 반성과 대선 패배에 대한 일말의 성찰조차 없이 이번 (지방)선거를 원활한 새 정부 출범을 훼방 놓기 위한 수단, ‘이재명 방탄조끼용’으로만 악용하고 있다”고 꼬집었다.이날 경기 성남 분당갑 보궐선거 출마를 공식 선언한 민주당 김병관 전 의원은 전날 같은 지역에 출사표를 던진 안철수 전 대통령직인수위원장을 향해 “떴다방 정치투기꾼”이라며 맹폭에 나섰다. 김 전 의원은 이날 기자회견에서 “‘안철수’로 상징되는 가짜 ‘새 정치’와 싸워 이겨야 한다는 엄숙한 책무를 부여받았다”며 “이번 선거가 안 후보(안 전 위원장)의 마지막 선거가 되도록 하겠다”고 밝혔다.허동준 기자 hungry@donga.com",2022-05-10,동아일보,,"이재명, 무연고 출마 비판에 “유능한 일꾼”",https://www.donga.com/news/Politics/article/all/20220510/113308009/1
5·18민주화운동 기념일을 앞두고 학생과 시민들이 9일 광주 북구 운정동 국립5·18민주묘지를 찾아 희생자들을 추모하고 있다.박영철 기자 skyblue@donga.com,2022-05-10,동아일보,,다시 찾아온 광주의 5월,https://www.donga.com/news/Society/article/all/20220509/113306762/1
"미국발(發) 통화 긴축으로 뉴욕증시가 1년여 만에 가장 낮은 수준으로 폭락한 데 이어 어제 한국 코스피지수도 2,600 선이 무너지며 17개월 만에 최저치를 나타냈다. 이달 4일 미 연방준비제도가 기준금리를 0.5%포인트 올린 뒤 한미 증시는 등락을 반복하다가 최근 하락 폭이 커지는 양상이다.최근 들어 증시의 변동성이 커진 것은 미국이 급격하게 돈줄을 죄는 ‘빅스텝’에 나선 뒤 시간차를 두고 긴축의 후폭풍이 거세지고 있기 때문이다. 전 세계에 닥친 복합위기가 쉽게 해소되기 힘들 것이라는 우려가 현실화하면서 실물경제의 바로미터인 증시가 얼어붙고 있는 것이다.한국은 재정으로 성장을 떠받치자니 물가가 오르고, 물가를 잡으려고 금리를 대폭 올리자니 불황이 우려되는 딜레마에 빠져 있다. 그런데도 추경호 경제부총리는 물가를 자극할 수 있는 대규모 추가경정예산안을 새 정부 첫 국무회의에 올릴 예정이다. 이창용 한국은행 총재는 지난달 원화 절하 폭이 심하지 않다고 발언한 뒤 환율이 급등하면서 자본 유출 우려가 커지고 있다. 경제정책의 컨트롤타워와 통화 당국의 수장이 복합위기에 걸맞은 종합적 대응을 하고 있는지 의문이다.새 경제팀은 위기를 직시하며 경제의 펀더멘털 점검에 나서야 한다. 당국자들은 기초체력이 튼튼하다지만 경제의 기둥 격인 무역수지는 올 들어 66억 달러 적자이고 소비자물가 상승률은 13년 반 만에 최고로 치솟았다. 경제의 파이를 키워 고용을 늘리는 선순환 고리도 깨진 지 오래다. 이런 현실과 달리 지금의 경제정책 방향은 글로벌 경기가 양호할 것이라는 낙관론을 전제로 만든 것이다. 고장 난 성장엔진을 교체하는 개혁과제를 중심으로 경제운용계획을 다시 짜야 할 때다.",2022-05-11,동아일보,,[사설]거세지는 ‘빅스텝’ 후폭풍… 경제운용계획 원점서 다시 짜라,https://www.donga.com/news/Opinion/article/all/20220510/113333792/1
"크게보기 이준석 국민의힘 대표가 9일 국회에서 열린 제8회 전국동시지방선거 중앙선거대책위원회 제1차 회의에서 발언을 하고 있다. 사진공동취재단

국민의힘이 인천 계양을 국회의원 보궐선거에 뛰어든 더불어민주당 이재명 전 경기도지사의 대항마를 찾는 데 고심하고 있다. 이 전 지사가 인천에 연고가 없는 점을 감안해 지역 기반을 갖춘 후보를 물색하면서 최원식 전 의원(사진)이 유력하게 거론되고 있다. 당초 출마가 예상됐던 윤희숙 전 의원은 9일 불출마를 선언했다.국민의힘 이준석 대표는 이날 국회에서 기자들과 만나 “계양을에는 최대한 지역 밀착형 인사가 나올 것”이라며 “지역을 대표할 수 있는, 진정성을 가진 납득할 수 있는 공천을 하기 위해 노력하겠다”고 했다. 당내에서는 ‘인천 토박이’로 19대 총선에서 민주통합당(현 더불어민주당) 소속으로 당선됐던 최 전 의원의 공천 가능성이 거론된다.변호사 출신인 최 전 의원은 인천 부평남초, 부평중, 부평고를 졸업하고 지역에서 시민운동을 했고 빈민운동가로 유명한 고 제정구 전 의원의 손윗동서다. 2016년 민주당 분당 과정에서 탈당해 국민의당에 입당했고, 당시 국민의당 창당에 앞장섰던 김한길 국민통합위원장과 가깝다. 최 전 의원 측은 “출마를 고심하고 있다”고 했다.이 전 지사의 맞상대로 윤 전 의원의 공천도 거론됐지만 윤 전 의원은 이날 출마하지 않겠다는 뜻을 밝혔다. 그는 페이스북을 통해 “오늘 이 대표는 계양을 선거에 지역밀착형 인사를 공천하겠다는 방침을 발표했다”며 “저는 당의 방침이 정해진 이상 누군가와 경쟁하거나 출마를 할 생각이 없다”고 했다. 윤 전 의원의 불출마로 최 전 의원이 이 전 지사의 맞상대가 될 가능성이 크다는 관측이 나오지만 이 지역을 다져온 윤형선 계양을 당협위원장도 후보군으로 거론된다. 정치권 일각에서는 이 대표의 출마 가능성을 거론하고 있지만 이 대표는 “그럴 거였으면 대선 중에 제가 생각을 비쳤을 것”이라며 “그럴 의지가 전혀 없고 (현재 당협위원장을 맡고 있는) 상계동에 대해 진심”이라고 했다.국민의힘은 경기 성남 분당갑에 안철수 전 대통령직인수위원장을 전략공천하기로 가닥을 잡았다. 안 전 위원장은 이날 성남시 분당구 백현동에 전입신고를 하면서 본격적인 선거전에 나섰다. 앞서 이 지역에 출마 선언을 했던 윤석열 대통령 특보 출신인 박민식 전 의원은 이날 불출마를 선언했다.윤다빈 기자 empty@donga.com",2022-05-10,동아일보,,"국힘 “인천계양을, 지역연고 후보 공천”…‘토박이’ 최원식 부상",https://www.donga.com/news/Politics/article/all/20220510/113308021/1
"독재자 아들과 권위주의적 통치자 딸이 필리핀 대통령궁에 사실상 입성했다. 9일 치러진 필리핀 대통령 선거에서 1986년 ‘피플 파워’ 민주화 운동으로 축출된 페르디난드 마르코스 전 대통령의 아들 마르코스 주니어 전 상원의원(65)과 ‘마약과의 전쟁’으로 악명 높은 로드리고 두테르테 현 대통령의 장녀 사라 두테르테 다바오시 시장(44)이 각각 대통령과 부통령 당선이 유력하다고 필리핀 언론이 전했다.필리핀 선거위원회(Comelec) 비공식 개표 결과에 따르면 개표율 53.5%인 이날 오후 8시 32분(현지 시간) 현재 마르코스 주니어는 약 1750만 표를 얻어 레니 로브레도 현 부통령(약 831만 표)을 920여만 표 앞섰다. 두테르테 시장도 2위보다 3배 이상 많은 1710만 표를 얻었다.미국 CNN 방송은 마르코스 주니어와 두테르테가 집권하면 현 정부의 친중(親中) 행보가 더 강화될 것이라고 전망했다. ‘봉봉’이라는 애칭으로 불리는 마르코스 주니어는 유세 내내 “중국과의 동맹부터 시작해야 한다”고 말했다.이날 군인 4만8000명, 경찰 1만6000명이 투표소 등에 배치돼 치안 유지에 힘썼지만 남부 민다나오섬 블루안 자치구역 투표소에서 괴한들이 총기를 발사해 경비 요원 3명이 숨지는 등 유혈사태로 얼룩졌다.마르코스 주니어의 승리 요인으로 소셜네트워크서비스(SNS)를 동원한 이미지 정치를 꼽는 전문가가 많다. 그는 아버지 마르코스를 ‘정치 천재’라고 부르며 철권통치와 부정부패로 점철된 치세 미화에 주력했다. 미국 워싱턴포스트에 따르면 그의 선거캠프는 틱톡 유튜브를 활용해 독재에 대한 허위조작 정보를 만들어 역사에 친숙하지 않은 젊은 세대를 공략했다.아버지 독재자의 계엄령 치하에서 고통받았던 양심수 출신 시민들은 마르코스 주니어가 당선되면 과거 정의 구현이 어려워질 것을 우려한다. 대통령이 마르코스 가문 비리를 조사하는 바른정부위원회(PCGG) 인사권을 갖고 있기 때문이다. 국제사면위원회에 따르면 마르코스 전 대통령 21년 집권 기간 중 후반 9년의 계엄령하에서 약 7만 명이 ‘국가의 적’으로 체포됐다. 이 중 절반가량이 고문을 당했고 3000명 이상이 숨졌다.이채완 기자 chaewani@donga.com",2022-05-10,동아일보,,"마르코스 아들과 두테르테 딸, 필리핀 정권 잡는다",https://www.donga.com/news/Inter/article/all/20220510/113307575/1
"국가무형문화재 제71호이자 유네스코(UNESCO) 무형문화유산인 제주 칠머리당영등굿이 상설 공연에 들어간다.제주도는 13일부터 11월까지 매월 둘째, 넷째 주 금요일 오후 7시 제주시 건입동 제주칠머리당영등굿 전수관 내 공연장에서 제주칠머리당영등굿 등을 무료 상설 공연한다고 9일 밝혔다. 둘째 주 금요일은 영등굿의 주요 부분, 넷째 주 금요일은 창작 작품을 보여주는 것으로 짜였으며 상설 공연은 이번이 처음이다.상설 공연의 핵심 주제는 ‘잇다’다. 과거, 현재, 미래를 잇고, 사람과 자연을 잇고, 신과 인간을 이어주는 것이 ‘굿’이라는 뜻을 담고 있다. 이러한 굿을 주재하는 심방(제주 무속인)은 힘든 삶을 살고 있는 사람들을 본풀이, 굿 놀이, 춤 등으로 위로하고 희망을 전한다. 예술인들은 칠머리당영등굿에서 영감을 받은 내용을 춤, 노래, 연극 등으로 재해석한 창작 작품을 공연으로 보여준다. 공연 전 프로그램으로 등 만들기 무료 체험행사도 진행한다.칠머리당영등굿은 제주시 건입동에서 전승되는 마을 수호신(본향당신)과 영등신앙이 결합한 민간 신앙으로 영등신을 더욱 중시하는 특징이 있다. 매년 음력 2월 1일 영등환영제를 하고 2월 14일 영등송별제를 무당굿으로 벌인다. 영등신은 외눈박이섬 또는 강남천자국에서 들어와 해산물 씨를 뿌려주어 풍요를 준 뒤 본국으로 돌아간다는 신이다. 칠머리는 건입동을 뜻하는 속칭으로 다른 지역 영등신앙은 주로 개인 신앙의례인 데 비해 칠머리당영등굿은 마을 굿으로 치러지는 특색이 있다.임재영 기자 jy788@donga.com",2022-05-10,동아일보,,제주 ‘칠머리당영등굿’ 11월까지 무료 상설 공연,https://www.donga.com/news/Society/article/all/20220509/113306765/1
"11월 열리는 카타르 월드컵을 준비하는 축구 국가대표팀이 악재를 만났다. 주전 수비수 김민재(26·사진)의 부상이다. 터키 쉬페르리그에서 뛰는 김민재의 소속 팀 페네르바흐체는 김민재가 복사뼈 부상으로 이번 시즌 팀 경기 일정을 모두 소화하지 못하고 한국으로 돌아간다고 7일 밝혔다.김민재는 대표팀 수비라인의 핵심이다. 김민재는 카타르 월드컵 아시아지역 최종예선 경기를 모두 소화했는데 수비수 중 최종예선 10경기를 모두 뛴 선수는 김민재가 유일하다. 대표팀을 지휘하는 파울루 벤투 감독(52)의 신뢰가 그만큼 크다는 의미다. 다음 달 벤투호는 브라질(2일), 칠레(6일), 파라과이(10일)와 차례로 경기를 갖는다. 카타르 월드컵 본선 조별리그에서 상대할 남미의 우루과이에 대비한 평가전이다. 이때 대표팀은 조직력을 점검해야 하는데 김민재의 출전이 불투명해지면서 벤투 감독은 새로운 수비라인 조합을 고민해야 하는 상황이다.중국 리그에서 뛰던 김민재는 2021∼2022시즌을 앞두고 페네르바흐체로 이적했고 9일 기준 31경기에 선발로 나서 뛰었다. 출전 시간은 2674분으로 팀 내 1위다. 페네르바흐체는 9일 베식타시전에서 1-1로 비겨 리그 8연승에 실패했다. 김민재의 공백이 컸다. 김민재는 페네르바흐체에 입단할 당시 이적료가 300만 유로(약 40억 원)였다. 지금은 잉글랜드 프리미어리그(EPL)를 비롯한 유럽 빅리그 클럽들도 관심을 보이면서 이적료가 2500만 유로(약 335억 원)까지 올랐다고 터키 언론들이 전했다.23세 이하(U-23) 축구대표팀도 변수를 만났다. 9월 열릴 예정이던 항저우 아시아경기 연기로 출전 선수 연령대가 바뀔 수 있기 때문이다. 내년 개최가 유력한 가운데 1999년생들의 출전 가능 여부는 아직 정해지지 않았다. 올 2월 소집 기준으로 U-23 대표팀엔 9명의 1999년생이 있다.김동욱 기자 creating@donga.com",2022-05-10,동아일보,,"이적료 8배로 뛴 김민재, 복사뼈 부상 악재",https://www.donga.com/news/Sports/article/all/20220510/113307977/1
"정임수 경제부 차장

지난해 국회가 법 개정을 통해 늘린 재정 부담이 향후 5년간 73조 원이 넘는다고 한다. 연평균 14조7000억 원에 육박하는 규모다. 지난해 가결된 법률 시행으로 올해부터 2026년까지 재정 지출이 38조 원 이상 늘어나고, 정부 세수는 34조 원 넘게 감소하는 탓이다. 국회예산정책처는 지난해 국회를 통과한 법률 153건을 분석해 이 같은 비용을 추산했다.이 중엔 신종 코로나바이러스 감염증(코로나19) 손실보상 등 불가피한 법안도 있지만 영아수당 신설, 출산 부모 200만 원 지급 같은 현금성 지원이 적지 않다. 한번 만들면 줄이기 힘든 복지 정책들이다. 거대 여당이 문재인 정부 막판까지 대선을 겨냥해 나라살림은 아랑곳하지 않고 ‘선심성 입법’을 강행했다는 비판이 나온다. 나랏돈을 써야 할 곳은 늘어나는데 세수는 줄어 재정 건전성은 더 악화될 것으로 우려된다.그러잖아도 문 정부 들어 나랏빚은 눈덩이처럼 불었다. 확정 국가채무에 공무원과 군인에게 지급할 연금까지 더한 국가부채는 현 정부 들어 763조 원 넘게 급증해 지난해 2196조 원에 이른다. 5년 내내 초대형 적자 예산을 편성한 데다 공무원을 13만 명 가까이 늘리면서 나랏빚이 사상 처음 2000조 원을 넘어선 것이다. 국내총생산(GDP) 대비 국가채무 비율도 2020년(43.8%) 역대 정부가 사수해온 40%를 처음 넘겼고 지난해 47.0%로 치솟았다.최악의 나라곳간을 넘겨받는 윤석열 정부는 재정 건전성 회복에 주력해야 하지만 그런 의지가 잘 보이지 않는다. 대선 당시 표를 얻기 위해 내놨던 ‘현금 퍼주기’ 공약들은 대부분 국정과제에 담겼다. 자영업자 지원을 위한 30조 원대 추가경정예산을 비롯해 부모급여 100만 원, 병사 월급 200만 원, 기초연금 40만 원 인상 등이 대표적이다.단계적 추진이라는 꼬리표를 달았지만 매년 수조에서 수십조 원이 들어가는 정책들이다. 국정과제를 모두 이행하려면 대통령직인수위원회 추산으로도 5년간 209조 원이 필요하다. 당초 추정한 266조 원보다 줄었지만 부동산세 법인세 인하 등 감세 정책을 펼치면서 이만한 재원을 어떻게 마련하겠다는 건지 의문이다.무엇보다 윤석열 정부는 출범하자마자 고물가 고금리 고환율의 ‘3고(高)’ 복합위기에 대처해야 한다. 국내 소비자물가(4월 4.8%)는 글로벌 금융위기 이후 13년 6개월 만에 최고치로 치솟았고, 미국 연방준비제도(Fed·연준)는 22년 만에 기준금리를 0.5%포인트 올리는 ‘빅스텝’을 밟았다. 이는 금융위기와 코로나19 사태로 10년 넘게 지속된 저금리 시대가 끝났다는 뜻이다. 정부와 한국은행의 긴밀한 ‘긴축 공조’가 어느 때보다 필요한 상황이다.이런데도 공약 완수를 위해 209조 원을 쏟아붓겠다는 것은 인플레이션 위기에 기름을 붓는 꼴이 될 수 있다. 새 정부가 선심성 돈 풀기 공약들을 손절하지 않고 그대로 추진한다면 문 정부와 마찬가지로 나랏빚을 늘려 미래 세대에 짐을 떠넘긴다는 비판을 피하기 어려울 것이다. 지금은 막 올린 ‘긴축의 시대’에 맞춰 한국 경제가 연착륙하는 데 힘을 쏟아야 할 때다.정임수 경제부 차장 imsoo@donga.com",2022-05-10,동아일보,,[광화문에서/정임수]‘3高 위기’ 대처하려면 돈 풀기 공약 걸러내야,https://www.donga.com/news/Opinion/article/all/20220510/113307725/1
"라이프스타일 애플리케이션 ‘오늘의집’을 운영하는 버킷플레이스가 2300억 원 규모의 시리즈 D 투자를 유치했다. 2조 원의 기업가치를 인정받아 한샘 등 오프라인 인테리어 업체의 몸값을 뛰어넘었다.9일 버킷플레이스에 따르면 이번 투자는 KDB산업은행(1000억 원)이 주도했다. IMM인베스트먼트, 미래에셋캐피탈 등 국내 투자자는 물론이고 글로벌 투자사인 소프트뱅크벤처스, 실리콘밸리 투자사 BOND 등도 참여했다.2020년 말 시리즈 C 투자 유치 당시 버킷플레이스의 기업가치는 8000억 원이었다. 1년 6개월 만에 기업가치가 2.5배 뛴 셈이다. 오프라인 인테리어 업계 1, 2위인 한샘과 현대리바트의 시가총액을 뛰어넘는 수치다.온라인 홈퍼니싱·인테리어 시장에서 국내 1위인 오늘의집은 성수기 월간 거래액이 1800억 원 수준이다. 최근 시공 및 설치·수리, 이사 등 집과 관련된 다양한 서비스 영역으로 사업을 확대했다. 지난해에는 싱가포르의 온라인 가구 플랫폼 힙밴을 인수하는 등 글로벌 시장에도 진출했다.이승재 버킷플레이스 대표는 “오늘의집만의 독창적인 경험이 한국을 넘어 글로벌까지 확장될 수 있도록 하겠다”고 말했다.김하경 기자 whatsup@donga.com",2022-05-10,동아일보,,한샘 몸값 뛰어넘은 ‘오늘의집’… 2300억 투자 유치,https://www.donga.com/news/Economy/article/all/20220509/113307311/1
