content,date,journal,summary,title,url
"검찰이 우리들병원의 특혜 대출 관련 의혹을 무혐의 처분한 결정을 지난달 뒤집고 재수사에 나섰다. 경찰은 디스커버리자산운용 장하원 대표에 대해 사기 등 혐의로 6일 구속영장을 신청했다. 문재인 정부 인사들이 연루된 두 사건은 3년 전에 불거졌는데, 검경은 정권교체가 되자 갑자기 수사 속도를 높이고 있다.노무현 전 대통령의 주치의였던 이상호 원장이 운영하는 우리들병원은 2012년과 2017년 대선을 앞두고 거액을 대출 받았다. 이 원장의 동업자는 2019년 기자회견을 열고 특혜 대출에 문재인 정부 청와대 행정관과 여권 실세 등이 관여했다고 주장했다. ‘금감원장 인사 후에 보자’는 관련자 메시지가 공개됐는데, 검찰은 작년 연말엔 무혐의 처분했다.2017년 4월부터 2년 동안 시중은행에서 판매된 디스커버리펀드는 피해 규모만 2562억 원에 이른다. 장 대표의 형인 장하성 주중 한국대사가 60억여 원, 김상조 전 대통령정책실장이 4억여 원을 투자해 펀드 성장 과정에 정권 차원의 비호나 특혜가 있었던 것 아니냐는 의혹이 제기됐다. 올 2월 장 대표를 두 번 조사한 경찰은 대선 다음 날 장 대표를 추가 조사하고도 두 달간 영장 신청을 미뤘다. 고의로 수사를 늦춘 것은 아닌지 의심된다.특혜 대출과 펀드 사기는 금융 분야의 특성상 수사가 제때 이뤄져야 피해 복구가 빨라진다. 그런데도 검경은 정권교체 전후 태도가 돌변했다. 모친의 사문서 위조 공모 의혹으로 고발된 김건희 씨에 대해 경찰은 최근 무혐의 처분했고, 주가 조작 의혹을 수사 중인 검찰은 김 씨를 조사하지 않고 있다. 이래서야 아무리 정치적 중립을 외친다 한들 누가 검경을 믿어주겠는가.",2022-05-11,동아일보,,[사설]정권 바뀌니 ‘우리들병원’ ‘디스커버리’ 의혹 칼 뽑은 검경,https://www.donga.com/news/Opinion/article/all/20220510/113333785/1
"노인회 달려간 李 인천 계양을 국회의원 보궐선거에 출마한 더불어민주당 소속 이재명 전 경기도지사가 9일 대한노인회 계양지회를 찾아 김대기 회장과 악수를 나누고 있다. 이 전 지사는 “제가 지역에 적응할 수 있도록 도와달라”고 말했다. 이 전 지사 측 제공

“안타깝게도 지난 대선은 일꾼보다는 심판자를 선택했다. 이제는 심판은 끝났으니 유능한 일꾼들을 선택해주시길 부탁드린다.”인천 계양을 국회의원 보궐선거에 출마한 이재명 전 경기도지사가 9일 본격적인 선거 활동에 나섰다. 이 전 지사는 이날 첫 일정으로 인천 계양노인복지관을 방문한 뒤 기자들과 만나 당 안팎에서 이어지는 ‘무연고 출마’ 비판과 관련해 거듭 ‘책임’을 강조했다. ‘선당후사’의 원칙에 따라 대선 패배에 대한 책임을 지기 위해 출마했다는 주장이다.그는 “정치인은 국민 앞에 무한 책임이 있기 때문에 당이 필요로 하는 일을 자기 이해관계를 떠나서 감당하는 것이 맞다”고 했다. 전날 지역구로 주소지 이전까지 마무리한 이 전 지사는 “결정 자체를 급박하게 하는 바람에 10일까지 이사를 끝내야 한다”고 답했다. 이 전 지사는 11일 열리는 더불어민주당 선대위 출정식 전까지 인천 계양에서 집중적으로 유세 활동을 이어갈 계획이다.민주당도 ‘수사 방탄용 출마’라는 국민의힘 공세에 맞서 ‘철통 방어’에 나섰다. 박홍근 원내대표는 이날 YTN 라디오에서 “(수사 방탄용이란 지적은) 이 고문의 재등장에 대한 부담을 갖는 국민의힘이 만들어내는 논리”라며 “이미 관련된 수사는 수사대로 다 진행이 되고 있다”고 일축했다. 민주당 김동연 경기도지사 후보도 “어차피 대통령이 새로 취임하게 되면 수사권, 검찰권 모두 다 윤석열 정부의 검찰이고 수사 담당하는 사람들”이라며 “아무리 국회의원이라고 하더라도 (수사에 따라) 명명백백하게 결과가 나올 것”이라고 선을 그었다.이에 맞선 국민의힘의 맹폭도 계속됐다. 권성동 원내대표는 이날 중앙선대위 회의에서 “카드 돌려 막기는 들어봤어도 지역구 돌려 막기는 처음”이라며 “이 전 지사가 무한 책임을 외치지만 무한 배임의 길로 가고 있다”고 비난했다. 6·1지방선거 공동선대위원장을 맡은 김기현 의원은 “실패한 문재인 정권 5년에 대한 반성과 대선 패배에 대한 일말의 성찰조차 없이 이번 (지방)선거를 원활한 새 정부 출범을 훼방 놓기 위한 수단, ‘이재명 방탄조끼용’으로만 악용하고 있다”고 꼬집었다.이날 경기 성남 분당갑 보궐선거 출마를 공식 선언한 민주당 김병관 전 의원은 전날 같은 지역에 출사표를 던진 안철수 전 대통령직인수위원장을 향해 “떴다방 정치투기꾼”이라며 맹폭에 나섰다. 김 전 의원은 이날 기자회견에서 “‘안철수’로 상징되는 가짜 ‘새 정치’와 싸워 이겨야 한다는 엄숙한 책무를 부여받았다”며 “이번 선거가 안 후보(안 전 위원장)의 마지막 선거가 되도록 하겠다”고 밝혔다.허동준 기자 hungry@donga.com",2022-05-10,동아일보,,"이재명, 무연고 출마 비판에 “유능한 일꾼”",https://www.donga.com/news/Politics/article/all/20220510/113308009/1
"미국발(發) 통화 긴축으로 뉴욕증시가 1년여 만에 가장 낮은 수준으로 폭락한 데 이어 어제 한국 코스피지수도 2,600 선이 무너지며 17개월 만에 최저치를 나타냈다. 이달 4일 미 연방준비제도가 기준금리를 0.5%포인트 올린 뒤 한미 증시는 등락을 반복하다가 최근 하락 폭이 커지는 양상이다.최근 들어 증시의 변동성이 커진 것은 미국이 급격하게 돈줄을 죄는 ‘빅스텝’에 나선 뒤 시간차를 두고 긴축의 후폭풍이 거세지고 있기 때문이다. 전 세계에 닥친 복합위기가 쉽게 해소되기 힘들 것이라는 우려가 현실화하면서 실물경제의 바로미터인 증시가 얼어붙고 있는 것이다.한국은 재정으로 성장을 떠받치자니 물가가 오르고, 물가를 잡으려고 금리를 대폭 올리자니 불황이 우려되는 딜레마에 빠져 있다. 그런데도 추경호 경제부총리는 물가를 자극할 수 있는 대규모 추가경정예산안을 새 정부 첫 국무회의에 올릴 예정이다. 이창용 한국은행 총재는 지난달 원화 절하 폭이 심하지 않다고 발언한 뒤 환율이 급등하면서 자본 유출 우려가 커지고 있다. 경제정책의 컨트롤타워와 통화 당국의 수장이 복합위기에 걸맞은 종합적 대응을 하고 있는지 의문이다.새 경제팀은 위기를 직시하며 경제의 펀더멘털 점검에 나서야 한다. 당국자들은 기초체력이 튼튼하다지만 경제의 기둥 격인 무역수지는 올 들어 66억 달러 적자이고 소비자물가 상승률은 13년 반 만에 최고로 치솟았다. 경제의 파이를 키워 고용을 늘리는 선순환 고리도 깨진 지 오래다. 이런 현실과 달리 지금의 경제정책 방향은 글로벌 경기가 양호할 것이라는 낙관론을 전제로 만든 것이다. 고장 난 성장엔진을 교체하는 개혁과제를 중심으로 경제운용계획을 다시 짜야 할 때다.",2022-05-11,동아일보,,[사설]거세지는 ‘빅스텝’ 후폭풍… 경제운용계획 원점서 다시 짜라,https://www.donga.com/news/Opinion/article/all/20220510/113333792/1
"크게보기 이준석 국민의힘 대표가 9일 국회에서 열린 제8회 전국동시지방선거 중앙선거대책위원회 제1차 회의에서 발언을 하고 있다. 사진공동취재단

국민의힘이 인천 계양을 국회의원 보궐선거에 뛰어든 더불어민주당 이재명 전 경기도지사의 대항마를 찾는 데 고심하고 있다. 이 전 지사가 인천에 연고가 없는 점을 감안해 지역 기반을 갖춘 후보를 물색하면서 최원식 전 의원(사진)이 유력하게 거론되고 있다. 당초 출마가 예상됐던 윤희숙 전 의원은 9일 불출마를 선언했다.국민의힘 이준석 대표는 이날 국회에서 기자들과 만나 “계양을에는 최대한 지역 밀착형 인사가 나올 것”이라며 “지역을 대표할 수 있는, 진정성을 가진 납득할 수 있는 공천을 하기 위해 노력하겠다”고 했다. 당내에서는 ‘인천 토박이’로 19대 총선에서 민주통합당(현 더불어민주당) 소속으로 당선됐던 최 전 의원의 공천 가능성이 거론된다.변호사 출신인 최 전 의원은 인천 부평남초, 부평중, 부평고를 졸업하고 지역에서 시민운동을 했고 빈민운동가로 유명한 고 제정구 전 의원의 손윗동서다. 2016년 민주당 분당 과정에서 탈당해 국민의당에 입당했고, 당시 국민의당 창당에 앞장섰던 김한길 국민통합위원장과 가깝다. 최 전 의원 측은 “출마를 고심하고 있다”고 했다.이 전 지사의 맞상대로 윤 전 의원의 공천도 거론됐지만 윤 전 의원은 이날 출마하지 않겠다는 뜻을 밝혔다. 그는 페이스북을 통해 “오늘 이 대표는 계양을 선거에 지역밀착형 인사를 공천하겠다는 방침을 발표했다”며 “저는 당의 방침이 정해진 이상 누군가와 경쟁하거나 출마를 할 생각이 없다”고 했다. 윤 전 의원의 불출마로 최 전 의원이 이 전 지사의 맞상대가 될 가능성이 크다는 관측이 나오지만 이 지역을 다져온 윤형선 계양을 당협위원장도 후보군으로 거론된다. 정치권 일각에서는 이 대표의 출마 가능성을 거론하고 있지만 이 대표는 “그럴 거였으면 대선 중에 제가 생각을 비쳤을 것”이라며 “그럴 의지가 전혀 없고 (현재 당협위원장을 맡고 있는) 상계동에 대해 진심”이라고 했다.국민의힘은 경기 성남 분당갑에 안철수 전 대통령직인수위원장을 전략공천하기로 가닥을 잡았다. 안 전 위원장은 이날 성남시 분당구 백현동에 전입신고를 하면서 본격적인 선거전에 나섰다. 앞서 이 지역에 출마 선언을 했던 윤석열 대통령 특보 출신인 박민식 전 의원은 이날 불출마를 선언했다.윤다빈 기자 empty@donga.com",2022-05-10,동아일보,,"국힘 “인천계양을, 지역연고 후보 공천”…‘토박이’ 최원식 부상",https://www.donga.com/news/Politics/article/all/20220510/113308021/1
"윤석열 대통령이 10일 서울 여의도 국회 앞마당에서 열린 취임식에서 취임사를 하고 있다. 대통령실사진기자단

윤석열 제20대 대통령이 어제 취임식을 갖고 용산 집무실에서 5년 임기의 공식 업무를 시작했다. 군 통수권도 인수받았다. 무한 책임의 시험대에 오른 셈이다. 윤 대통령은 취임사에서 “자유민주주의와 시장경제 체제를 기반으로 국민이 진정한 주인인 나라로 재건하겠다”고 했다. 전체를 관통한 키워드는 ‘자유’였다. 우리 정치가 제 기능을 못 하고 있다면서 그 원인으로 ‘반(反)지성주의’를 지목한 뒤, 국내외 난제 해결을 위해 자유라는 보편적 가치를 공유해야 한다고 했다.윤 대통령은 아울러 ‘빠른 성장’을 강조했다. 그래야 많은 국민이 새로운 기회를 찾을 수 있고, 사회 이동성을 제고해 양극화와 갈등의 근원을 제거할 수 있다는 논리였다. 또 우리 국민과 재외동포를 넘어 ‘자유를 사랑하는 세계 시민 여러분’을 수차례 외치며 청자(聽者)로 삼았다. 역대 취임사 중 처음이다. 세계 시민의 자유와 인권, 이를 위한 국제사회와의 연대를 강조했다.역대 대통령들은 취임사에서 그 나름의 시대정신을 제시하고 국정의 주요 방향을 밝혔다. 취임사의 초심(初心)이 제대로 지켜지지 않고 변질돼 실패한 대통령으로 기록된 경우가 다반사였지만, 국민은 취임사를 통해 경제와 복지, 외교안보 등에 대한 새 정부의 큰 노선을 파악할 수 있었다. 윤 대통령의 취임사는 원론적인 수준에 머무른 듯한 느낌이다. 자유와 인권, 공정, 연대 등 중요한 가치를 내세웠지만 구체적인 액션 플랜은 보이지 않았기 때문이다.한국 정치가 갈수록 퇴보하는 것도, 사회가 극도로 양극화된 것도 따지고 보면 국민 다수가 동의하는 보편적 가치의 부재, 철학의 부재 탓일 수 있다. 그 점에서 자유 인권 등의 가치를 강조한 건 의미가 있다. 이를 어떻게 추구할 것인지가 관건이다. 윤 대통령이 ‘다수의 힘’ 등 우회적으로 거대 야당을 겨냥하면서도 통합이나 협치를 한마디도 언급하지 않은 것은 의아한 대목이다. 정치는 타협의 예술이다. 여소야대다. 싫든 좋든 손을 내밀고 협조를 요청해야 한다.윤 대통령이 ‘보편적 국제규범’에 대한 지지와 연대를 강조한 것은 미중 전략 경쟁과 러시아의 전쟁 도발로 뚜렷해진 신냉전 대결 구도에서 자유진영의 한 축으로 분명히 서겠다는 의지로 읽힌다. 다만 반(反)중국·러시아 연대 참여가 부를 역풍이나 급속한 쏠림이 낳을 부작용도 충분히 감안하고 있는지는 의문이다. 대북 정책에 대해선 “전쟁을 회피하는 취약한 평화가 아니라 지속가능한 평화를 추구하겠다”고 했다. ‘담대한 계획’의 로드맵이 나와야 한다.윤석열 정부에 대한 평가도 궁극적으론 경제 성적표로 판가름이 날 공산이 크다. 재정을 통한 일자리 창출이나 포퓰리즘은 지양하고 초격차 기술 등 국가 핵심 산업 육성 프로젝트도 시급하다. 취임사만 놓고 보면 윤곽이 분명치 않은 추상화로 보인다. 정교하고 섬세한 붓질이 필요하다. 국정은 실행이다.",2022-05-11,동아일보,,[사설]‘자유’ ‘성장’ 강조한 尹 취임사… 섬세한 실행전략이 관건,https://www.donga.com/news/Opinion/article/all/20220510/113333803/1
"더불어민주당이 최강욱 의원(사진)이 당내 비공개 온라인 회의에서 성희롱 발언을 했다는 이른바 ‘짤짤이 논란’과 관련해 중앙당 윤리심판원에 직권 조사를 요청해 징계 여부를 논의하기로 했다.민주당 신현영 대변인은 9일 비상대책위원회 회의 후 기자들과 만나 “최 의원의 온라인 회의 발언 건과 관련해 중앙당 윤리심판원에 직권 조사를 명하기로 했다”고 밝혔다. 그러면서 “특히 2차 가해가 있었는지, 관련 보좌관끼리의 말맞추기 시도가 있었는지, 은폐 시도가 있었는지도 포함해 조사를 진행하고 이 부분까지도 조사 및 징계 대상으로 검토하기로 했다”고 덧붙였다. 징계 수위와 관련해 신 대변인은 “윤리심판원의 독립적 판단을 기다려보겠다”면서 “추가 피해를 방지하기 위해 최대한 빠른 시일 내 신속한 조사, 판단을 요청하기로 했다”고 했다.이는 박지현 공동비대위원장이 최근 페이스북에서 “유출자가 문제라든지, 제보자를 찾아야 한다는 등의 2차 가해를 당했다”고 지적하는 등 당내에서도 비판이 이어지는 데에 따른 후속 조치로 풀이된다. 특히 6·1지방선거를 앞두고 성추행 논란이 더 이상 확산되지 않도록 조기에 차단하려는 시도로 보인다.앞서 최 의원은 지난달 28일 국회 법사위 소속 의원들과 보좌진들이 참여한 온라인 화상회의에서 성희롱성 발언을 했다는 의혹이 제기되자 뒤늦게 페이스북에 사과문을 올린 바 있다.권오혁 기자 hyuk@donga.com",2022-05-10,동아일보,,"민주당, 성희롱 발언 논란 최강욱 징계 논의",https://www.donga.com/news/Politics/article/all/20220510/113308034/1
"2주택자가 15년전 10억에 산 집, 20억에 팔면 양도세 3억 줄어



10일부터 다주택자에 대한 양도소득세 중과가 1년간 면제된다. 이사 등으로 인한 일시적 2주택자는 기존 주택을 2년 안에만 팔면 비과세 대상이 된다.9일 기획재정부는 이런 내용을 담은 소득세법 시행령 개정안을 10일부터 시행한다고 밝혔다. 10일부터 1년간 조정대상지역에서 주택을 2년 이상 보유하다가 매도하는 다주택자는 최고 49.5%(지방소득세 포함)의 세율만 적용된다. 기존엔 이 세율에 20∼30%포인트가 중과됐지만 면제되는 것이다. 이들은 주택을 3년 이상 보유하면 양도 차익의 최대 30%가 공제되는 장기보유특별공제도 받을 수 있다. 다주택자가 나머지 집을 팔고 1주택자(조정대상지역)가 되면 기존엔 ‘1주택자가 된 시점’부터 보유·거주기간이 2년 지나야 비과세 혜택이 생겼다. 이젠 이러한 1주택자도 해당 주택을 ‘실제 보유하거나 거주한 시점’부터 2년이 지나면 비과세된다. 조정대상지역 일시적 2주택자가 비과세 혜택을 받으려면 기존엔 주택을 1년 안에 처분해야 했다. 하지만 앞으로는 2년 안에만 처분하면 비과세 대상이 된다.윤석열 정부가 10일부터 다주택자에 대한 양도소득세를 완화하고 나선 것은 시장에 매물을 빨리 공급해 가격을 안정시키려는 취지로 풀이된다. 또 다음 달 1일 지방선거를 앞두고 다주택자에 대한 세 부담 완화를 통해 부동산 민심을 잡겠다는 포석으로 해석된다. 10일부터 달라지는 다주택자 양도세 부과 방식을 Q&A로 알아본다.“주택 수와 보유·거주 기간, 양도가액, 양도차익에 따라 다르다. 조정대상지역에서 양도가액이 20억 원, 양도차익이 10억 원, 보유 기간이 15년이라고 가정할 때 2주택자는 종전보다 3억2550만 원, 3주택자는 4억2525억 원의 세금을 줄일 수 있다.”“양도세 중과 면제 기간은 2022년 5월 10일부터 2023년 5월 9일까지다. 이 기간에 계약 여부가 중요한 게 아니라 실제 양도가 돼야 한다. 즉, 이 기간에 등기 이전이나 잔금 처리를 끝내면 된다.”“아니다. 양도세 중과 면제를 받으려면 조정대상지역의 주택 보유 기간이 2년 이상이어야 한다. 다주택자여도 보유 기간이 2년 미만이면 면제 대상이 될 수 없다.”“받을 수 있다. 세법에 따르면 원래 양도세 중과 대상은 양도차익의 최대 30% 공제를 받을 수 있는 장특공제 대상이 될 수 없다. 하지만 중과 면제 기간엔 이들이 중과 대상이 아니기 때문에 장특공제 혜택을 받게 된다. 그 대신 장특공제를 받으려면 주택 보유 기간이 3년 이상이어야 한다.”“부동산 계약서 혹은 잔금 이체 내역, 등기서류 등이 필요하다. 세 가지 서류 중 편한 쪽을 택하면 된다. 부동산 계약서의 경우 과세 당국에서 인정하고 있지만, 계약서 내용이 불투명하면 당국이 기간 내 잔금 이체 내역을 요구할 수도 있다.”“일단 1년간 한시적으로 운영하기로 했다. 다만, 기획재정부는 양도세 중과를 중장기적으로 면제해야 한다는 지적에 공감하고 있다. 향후 시장 상황과 양도세 중과 면제에 대한 효과 등을 분석해 영구 면제 방안도 추진될 수 있다.”“조정대상지역 소재 해당 주택 1채의 보유·거주 기간이 2년 이상이어야 한다. 기존엔 다주택자가 다른 주택을 처분해 1주택자가 된 시점부터 2년이 돼야 했다. 하지만 이번 시행령 개정으로 남은 해당 주택의 보유·거주 시점부터 2년이 되면 비과세 혜택을 받는다.”“기존 주택과 신규 주택 모두 조정대상지역인 경우 기존 주택을 신규 주택 취득일로부터 2년 안에 팔아야 한다. 시행령 개정 전에는 신규 주택 취득일로부터 1년 안에 팔아야 했다. 또 이번 개정으로 신규 주택에 가구원 전원이 전입해야 하는 요건도 삭제됐다.”“아니다. 조정대상지역 외의 지역에서 일시적 2주택자는 종전 주택을 기존처럼 3년 안에 처분해야 한다. 기존 기한이 변하지 않는다.”세종=김형민 기자 kalssam35@donga.com",2022-05-10,동아일보,,"이사 등 일시적 2주택자, 2년안에 집 팔면 비과세",https://www.donga.com/news/Economy/article/all/20220509/113307358/1
"6·1지방선거가 20여 일 앞으로 다가온 가운데 기획재정부 출신 인사들이 줄줄이 공천을 받아 약진하고 있다. 윤석열 정부의 ‘경제팀’에 기재부 출신 인사들이 기용된 데 이어 정계에도 진출하면서 기재부에선 ‘오히려 기재부에 대한 반감이 생기는 것 아니냐’는 우려도 나온다.최근 더불어민주당은 ‘텃밭’으로 꼽히는 호남지역 지방자치단체장에 기재부 출신 인사들을 공천했다. 전남 나주시장 민주당 후보로 윤병태 전 기재부 행정안전예산심의관이 나섰다. 윤 예비후보는 행정고시 36회로 기재부 예산기준과장과 교육과학예산과장 등을 지냈다. 2018년부터는 전남도 정무부지사를 지낸 뒤 이번 지방선거에 출사표를 던졌다.전북 전주시장 민주당 후보로는 우범기 전 기재부 장기전략국장이 결정됐다. 우 예비후보는 행시 35회로 노동환경예산과장과 재정관리총괄과장 등을 거쳤다. 2014년에는 광주시 경제부시장으로, 2019년에는 전북도 정무부지사로 일했다. 두 예비후보는 모두 기재부를 거쳐 호남지역 정무부지사를 지냈다는 공통점이 있다.민주당은 이재명 상임고문의 정치적 근거지로 꼽히는 경기 성남시에서 배국환 전 기재부 2차관을 시장 후보로 공천했다. 그는 기획예산처 예산총괄과장과 재정전략실장, 감사원 감사위원 등을 거쳤다. 의사 출신인 신상진 국민의힘 예비후보와 맞붙을 것으로 전망된다.국민의힘에서도 기재부 출신 인사가 공천을 신청했다. 윤영선 전 관세청장은 김태흠 전 국민의힘 의원의 충남도지사 출마로 공석이 된 충남 보령-서천 보궐선거에 도전했다. 윤 전 청장은 기재부 세제실장을 지냈다. 보궐선거는 6월 1일 지방선거와 함께 치러진다.10일 출범하는 윤석열 정부에서도 기재부 출신들이 중용된 바 있다. 김대기 대통령비서실장 내정자와 최상목 대통령경제수석비서관 내정자, 한덕수 국무총리 후보자와 추경호 경제부총리 겸 기재부 장관 후보자가 모두 기재부나 전신인 경제기획원, 재정경제부를 거쳤다. 헌정 사상 처음으로 ‘경제 원팀’이 모두 한 부처 출신인 셈이다.기재부 관계자는 “기재부 출신 인사들이 외부에서 활발하게 활동하는 것은 좋지만 ‘지나치게 기재부 인사가 많다’는 (지적에) 역풍이 불 수 있어 우려된다”고 말했다.세종=최혜령 기자 herstory@donga.com",2022-05-10,동아일보,,"기재부 출신, 尹정부 중용 이어 지방선거 대거 출마",https://www.donga.com/news/Economy/article/all/20220510/113307988/1
"尹, 정보수장에 측근 대신 외교안보통 낙점… ‘모사드’처럼 해외업무 집중-한미공조 의지

윤석열 정부 초대 국가정보원장으로 내정된 것으로 알려진 김규현 전 국가안보실 1차장(왼쪽)이 2014년 인천 아시아경기대회 폐회식에 참석한 김양건 당시 북한 대남비서 겸 통일전선부장과 오찬을 마치고 대화를 나누고 있는 모습. 동아일보DB

윤석열 정부의 첫 국가정보원장으로 김규현 전 국가안보실 1차장(69·사진)이 내정됐다. 윤 대통령은 이번 주 국정원장 인선을 발표할 예정이다.윤 대통령 측 핵심 관계자는 9일 동아일보와의 통화에서 “김 전 차장이 새 국정원장 후보자로 가장 유력하다”라며 “새 정부 출범 직후 이번 주 안에 이를 발표할 계획”이라고 밝혔다. 김 전 차장은 경기고, 서울대 치의학과를 졸업했으며 대학 재학 중인 1980년 외무고시(14회)에 합격해 공직에 입문했다. 외교부 북미1과장, 북미국 심의관, 주미 한국대사관 참사와 공사 등을 거친 정통 북미 라인이다. 박근혜 정부에서 외교부 1차관과 국가안보실 1차장, 대통령외교안보수석비서관 겸 국가안보실 2차장 등을 지냈다.역대 정부에서 국정원장에는 통상 대통령의 두터운 신임을 받는 측근이 기용됐다. 하지만 윤 대통령은 측근 대신 국가 안보에 정통한 전문가를 첫 국정원장 후보자로 낙점했다. 윤 대통령 측 관계자는 “윤 대통령은 본인이 잘 모르는 인물이라도 전문성을 갖춘 사람을 기용해 무한 신뢰하는 방안을 택한 것”이라고 설명했다. 국정원장 후보자는 국회 인사청문회를 거쳐 임명된다.윤석열 대통령이 새 정부의 첫 국가정보원장으로 김규현 전 국가안보실 1차장을 낙점한 배경에는 전문성과 국제 감각을 두루 갖춘 인물을 정보수장으로 앉히겠다는 의중이 작용한 것으로 알려졌다. 직업 외교관 출신으로 외교안보 요직을 두루 거친 경력을 적극 활용하겠다는 취지다. 미국통으로 ‘워싱턴 스쿨’로 분류되는 김 전 차장을 통해 정보 분야에서도 강력한 한미 공조를 도모하겠다는 의도도 깔렸다.김 전 차장은 서울대 치의학과를 졸업하고 외교관이 된 독특한 이력을 갖고 있다. 외교부 북미1과장과 북미국 심의관, 주미 한국대사관 참사와 공사 등 미국 전문가로 정통 ‘엘리트 코스’를 밟았다. 김대중 정부 시절 대통령비서실에 파견됐고, 노무현 전 대통령 때는 김관진 당시 국방부 장관을 보좌하며 국방부 국제협력관으로 전시작전통제권 전환 등 한미 간 핵심 국방 현안에 깊숙이 관여했다.김 전 차장은 박근혜 정부 들어서도 외교부 1차관과 국가안보실 1차장, 2차장 등 요직을 두루 거쳤다. 다만 세월호 사고 당시 국가안보실 1차장으로 보고 시각 및 박 전 대통령의 최초 지시 시각 등을 조작한 혐의로 체포됐지만 처벌받진 않았다.앞서 윤석열 정부의 첫 국정원장으로는 국정원 내부 인사나 정치인 등도 거론됐다. 그럼에도 결국 직업 외교관 출신인 김 전 차장을 발탁한 것은 국정원을 이스라엘 정보기관인 ‘모사드’처럼 해외 정보 업무에 집중하는 첩보조직으로 운영하겠다는 윤 대통령의 강한 의지 때문으로 풀이된다. 윤 대통령은 국정원 핵심 업무인 북한 이슈도 국제 정세를 읽을 줄 아는 인물이 맡아야 한다는 생각을 가진 것으로 알려졌다. 김 전 차장은 외교부와 안보실을 두루 경험해 이 같은 구상에 적임자라고 평가받는다.윤 대통령 측은 앞서 “새 정부에선 대통령이 국정원장과 독대하지 않을 방침”이라고 밝혔다. 첫 국정원장으로 윤 대통령과 별다른 인연이 없는 김 전 차장을 발탁한 게 불필요한 정치적 오해 등을 원천 차단하겠다는 포석 아니냐는 해석도 나온다.△서울(69) △경기고, 서울대 치의학과 학사, 미국 하버드대 행정학 박사 △외무고시(14회) △외교부 1차관 △국가안보실 1차장 △대통령외교안보수석비서관 겸 국가안보실 2차장전주영 기자 aimhigh@donga.com최지선 기자 aurinko@donga.com",2022-05-10,동아일보,,국정원장 김규현 내정… 북미라인 외교-안보통,https://www.donga.com/news/Politics/article/all/20220510/113308123/1
"미국의 핵탐지 정찰기인 콘스턴트피닉스(WC-135W·사진)가 7일 미 본토에서 일본 오키나와 가데나 기지로 전진 배치됐다. 갓 출범한 윤석열 정부와 한미 정상회담(21일)을 겨냥한 북한의 핵도발이 사실상 초읽기에 들어간 것이 아니냐는 관측이 나온다.콘스턴트피닉스는 북한이 핵실험을 하면 곧장 동해로 전개될 것으로 보인다. ‘핵탐지견’이란 별칭의 이 정찰기는 핵실험 직후 대기로 퍼져나간 극미량의 방사성물질(핵종)을 포집 분석한다. 핵실험의 ‘스모킹 건’(결정적 증거)인 핵종의 종류를 가려내 핵실험에 사용한 핵물질이 플루토늄인지 우라늄인지를 판별할 수 있다. 북한 핵실험 때마다 동해로 날아왔다.이런 가운데 북한의 사상 첫 연쇄 핵실험 가능성에 대한 우려도 커지고 있다. 북한이 통상 핵소형화 기준(직경 60cm·무게 500kg 미만)보다 작은 전술핵탄두를 제작했다면 한 차례 실험으론 성능을 입증하기 힘들다. 함경북도 길주군 풍계리 핵실험장의 3번 갱도는 ‘가지갱도’ 형태로 1kt(킬로톤·1kt는 TNT 1000t의 폭발력) 안팎의 소형 핵탄두를 하루 또는 며칠 간격으로 2, 3차례 연속 실험할 수 있다는 분석이 나온다.북한 위협에 대응한 한미의 대응도 본격화되고 있다. 4개월간 정비를 끝낸 미 7함대 소속 로널드레이건 항공모함은 8일 모항(일본 요코스카항)을 출항해 시험운항에 들어갔다. 조 바이든 대통령의 방한 기간(20∼22일) 동해상에서 대북 견제 및 핵도발 시 무력시위에 나설 것으로 보인다. 또 한미 공군은 6일부터 90여 대의 군용기를 동원해 연합공중훈련을 진행 중이다.윤상호 군사전문기자 ysh1005@donga.com신규진 기자 newjin@donga.com",2022-05-10,동아일보,,北 核도발 임박?… 美 핵탐지정찰기 日기지 배치,https://www.donga.com/news/Politics/article/all/20220510/113307927/1
