Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
2335,1,0.1128,"전, 별세, 세대",627cdd4d7f98dd6342b337ca,한승헌 변호사 별세…민주화 헌신한 1세대 인권변호사,2022-04-20
370,1,0.095,"전, 별세, 세대",627cdd4d7f98dd6342b3252e,‘1세대 인권변호사’ 한승헌씨 별세… 동백림-DJ 내란음모 사건 등 변호 ,2022-04-21
633,1,0.0926,"전, 별세, 세대",627cdd4d7f98dd6342b327ad,3차전엔 오세근 폭주… KGC “챔프전까지 1승만” ,2022-04-26
1623,1,0.082,"전, 별세, 세대",627cdd4d7f98dd6342b33167,‘인삼 트라우마’ 넘어 첫 단추 뀄다…SK 챔프전 1차전 승리,2022-05-02
1304,1,0.082,"전, 별세, 세대",627cdd4d7f98dd6342b32e51,페리오·드봉 만든 ‘산업화 1세대’ 구자학 아워홈 회장 별세,2022-05-12
1188,1,0.0785,"전, 별세, 세대",627cdd4d7f98dd6342b32d57,"동국대 전현직 총장, 교비 횡령 혐의로 고발돼",2022-05-10
252,1,0.0771,"전, 별세, 세대",627cdd4d7f98dd6342b3241d,"前변협회장 10명 “검수완박, 집권세력 방패용” ",2022-04-20
667,1,0.0758,"전, 별세, 세대",627cdd4d7f98dd6342b3281c,"KGC, KT 누르고 2년 연속 챔프전 올라 ",2022-04-28
1362,1,0.0679,"전, 별세, 세대",627cdd4d7f98dd6342b32eec,인사기획관 복두규 전 대검 사무국장…대통령실에 검찰인맥,2022-05-06
352,1,0.0659,"전, 별세, 세대",627cdd4d7f98dd6342b32503,경재용 동문건설 회장 별세 ,2022-04-21
1138,1,0.0659,"전, 별세, 세대",627cdd4d7f98dd6342b32ce0,하영기 前 한국은행 총재 별세 ,2022-04-16
283,1,0.0659,"전, 별세, 세대",627cdd4d7f98dd6342b32460,하영기 前 한국은행 총재 별세 ,2022-04-16
693,1,0.0647,"전, 별세, 세대",627cdd4d7f98dd6342b32864,고순이 밀레 명예회장 별세 ,2022-04-25
928,1,0.0647,"전, 별세, 세대",627cdd4d7f98dd6342b32aec,백남치 前 국회의원 별세 ,2022-05-05
1490,1,0.0647,"전, 별세, 세대",627cdd4d7f98dd6342b3301a,"50년 전 김추자, 20년 전 SES…이름은 달라도 ‘세기말 패션’ 돌아왔다",2022-05-05
2521,1,0.0647,"전, 별세, 세대",627cdd4d7f98dd6342b338df,‘공헌도 1위’ 최준용 VS ‘평균 득점 1위’ 이대성…챔프전 향해 쏜다,2022-04-19
94,1,0.0647,"전, 별세, 세대",627cdd4d7f98dd6342b322e5,임방현 前 청와대 대변인 별세 ,2022-04-18
1160,1,0.0638,"전, 별세, 세대",627cdd4d7f98dd6342b32d18,하영기 前 한국은행 총재 별세,2022-04-16
